"S.No","plod","name","title","male","culture","dateOfBirth","DateoFdeath","mother","father","heir","house","spouse","book1","book2","book3","book4","book5","isAliveMother","isAliveFather","isAliveHeir","isAliveSpouse","isMarried","isNoble","age","numDeadRelations","boolDeadRelations","isPopular","popularity","isAlive"
1,0.946,"Viserys II Targaryen",NA,1,NA,NA,NA,"Rhaenyra Targaryen","Daemon Targaryen","Aegon IV Targaryen","","",0,0,0,0,0,1,0,0,NA,0,0,NA,11,1,1,0.605351171,0
2,0.613,"Walder Frey","Nobility",1,"Riverlands",208,NA,"","","","House Frey","Perra Royce",1,1,1,1,1,NA,NA,NA,1,1,1,97,1,1,1,0.89632107,1
3,0.507,"Addison Hill","Nobility",1,NA,NA,NA,"","","","House Swyft","",0,0,0,1,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.267558528,1
4,0.924,"Aemma Arryn","Royalty",0,NA,82,105,"","","","House Arryn","Viserys I Targaryen",0,0,0,0,0,NA,NA,NA,0,1,1,23,0,0,0,0.183946488,0
5,0.383,"Sylva Santagar",NA,0,"Dorne",276,NA,"","","","House Santagar","Eldon Estermont",0,0,0,1,0,NA,NA,NA,1,1,1,29,0,0,0,0.043478261,1
6,0.979,"Tommen Baratheon",NA,1,NA,NA,NA,"Cersei Lannister","Robert Baratheon","Myrcella Baratheon","","",0,0,0,0,0,1,1,1,NA,0,0,NA,5,1,1,1,1
7,0.986,"Valarr Targaryen","Nobility",1,"Valyrian",183,209,"","","","House Targaryen","Kiera of Tyrosh",0,0,0,0,0,NA,NA,NA,1,1,1,26,0,0,1,0.431438127,0
8,0.964,"Viserys I Targaryen",NA,1,NA,NA,NA,"Alyssa Targaryen","Baelon Targaryen","Rhaenyra Targaryen","","",0,0,0,0,0,1,1,1,NA,0,0,NA,5,1,1,0.678929766,0
9,0.276,"Wilbert","Nobility",1,NA,NA,298,"","","","","",0,0,1,0,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.006688963,0
10,0.609,"Wilbert Osgrey","Nobility",1,NA,NA,NA,"","","","House Osgrey","",0,0,0,0,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.02006689,1
11,0.833,"Will",NA,1,NA,NA,297,"","","","Night's Watch","",1,1,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.163879599,0
12,0.015,"Will (orphan)",NA,0,NA,NA,NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.003344482,1
13,0.187,"Will (squire)",NA,1,NA,NA,NA,"","","","","",0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.003344482,1
14,0.253,"Will (Standfast)",NA,0,NA,NA,NA,"","","","House Osgrey","",0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.003344482,1
15,0.295,"Will (Treb)",NA,1,NA,NA,NA,"","","","House Osgrey","",0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.003344482,1
16,0.004,"Will Humble",NA,1,"Ironborn",NA,NA,"","","","House Humble","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.013377926,1
17,0.016,"Willam",NA,1,NA,NA,NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.013377926,1
18,0.396,"Willem Wylde","Nobility",1,NA,NA,NA,"","","","House Wylde","",0,0,0,0,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.02006689,1
19,0.002,"Willifer","Nobility",0,NA,NA,NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.006688963,1
20,0.078,"Willit",NA,1,NA,NA,NA,"","","","House Swyft","",0,1,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.010033445,1
21,0.026,"Willis Wode","Nobility",1,NA,NA,NA,"","","","House Wode","",1,0,0,1,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.02006689,1
22,0.978,"Willis Fell","Nobility",0,NA,NA,NA,"","","","House Fell","",0,0,0,0,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.023411371,1
23,0.232,"Willow Heddle",NA,0,NA,289,NA,"","","","Brotherhood Without Banners","",0,0,0,1,0,NA,NA,NA,NA,0,0,16,0,0,0,0.033444816,1
24,0.439,"Willum","Nobility",1,NA,NA,NA,"","","","","",1,0,0,0,0,NA,NA,NA,NA,0,1,NA,0,0,0,0,1
25,0.064,"Wolmer",NA,1,NA,NA,NA,"","","","House Webber","",0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.003344482,1
26,0.783,"Willow Witch-eye",NA,0,"Free Folk",NA,300,"","","","","",0,0,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0.050167224,0
27,0.807,"Woth",NA,1,NA,NA,299,"","","","","",0,1,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.030100334,0
28,0.29,"Wulfe",NA,1,"Ironborn",NA,NA,"","","","House Greyjoy","",0,0,0,1,1,NA,NA,NA,NA,0,0,NA,0,0,0,0.023411371,1
29,0.191,"Wyl the Whittler",NA,0,NA,NA,NA,"","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.006688963,1
30,0.797,"Wyl (guard)",NA,0,"North",NA,298,"","","","House Stark","",1,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.026755853,0
31,0.092,"Wyl Waynwood",NA,0,NA,NA,196,"","","","House Waynwood","",0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.013377926,0
32,0.845,"Wun Weg Wun Dar Wun",NA,1,NA,NA,NA,"","","","","",0,0,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0.050167224,1
33,0.893,"Wylla",NA,1,NA,NA,NA,"","","","House Dayne","",1,0,1,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.026755853,1
34,0.165,"Wynafryd Manderly",NA,0,NA,280,NA,"","","","House Manderly","",0,0,0,1,1,NA,NA,NA,NA,0,0,25,0,0,0,0.056856187,1
35,0.004,"Xhondo",NA,1,"Summer Islands",NA,NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.02006689,1
36,0.011,"Ygon Farwynd",NA,1,NA,NA,NA,"","","","House Farwynd of the Lonely Light","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.010033445,1
37,0.002,"Yna",NA,1,NA,NA,NA,"","","","Happy Port","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.02006689,1
38,0.003,"Yohn Farwynd",NA,1,"Ironborn",NA,NA,"","","","House Farwynd of the Lonely Light","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.010033445,1
39,0.035,"Yorkel",NA,0,NA,NA,NA,"","","","House Targaryen","",0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,1
40,0.02,"Yorko Terys",NA,1,NA,NA,NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.023411371,1
41,0.24,"Yormwell","Nobility",0,NA,NA,NA,"","","","","",0,0,0,0,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.003344482,1
42,0.241,"Young Henly",NA,1,NA,240,299,"","","","Night's Watch","",0,0,1,0,0,NA,NA,NA,NA,0,0,59,0,0,0,0.013377926,0
43,0.816,"Ysilla",NA,0,NA,NA,NA,"","","","","Yandry",0,0,0,0,1,NA,NA,NA,1,1,0,NA,0,0,0,0.040133779,1
44,0.004,"Zarabelo","Nobility",0,NA,NA,NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.006688963,1
45,0.191,"Zei",NA,0,NA,NA,NA,"","","","","",0,0,1,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.013377926,1
46,0.502,"Zekko",NA,1,"Dothraki",NA,NA,"","","","","",0,0,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0.013377926,1
47,0.033,"Zharaq zo Loraq",NA,1,"Ghiscari",NA,NA,"","","","House of Loraq","",0,0,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0.010033445,1
48,0.016,"Wenda",NA,0,NA,NA,NA,"","","","Kingswood Brotherhood","",0,0,1,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.016722408,1
49,0.136,"Wex Pyke",NA,1,"Ironborn",286,NA,"","","","House Botley","",0,1,1,1,1,NA,NA,NA,NA,0,0,19,0,0,0,0.113712375,1
50,0.793,"Timett","Nobility",1,"Vale mountain clans",278,NA,"","","","Burned Men","",1,1,1,0,1,NA,NA,NA,NA,0,1,27,0,0,0,0.073578595,1
51,0.603,"Joffrey Baratheon",NA,1,NA,NA,NA,"Cersei Lannister","Robert Baratheon","Tommen Baratheon","","",0,0,0,0,0,1,1,1,NA,0,0,NA,5,1,1,1,0
52,0.979,"Laenor Velaryon","Nobility",1,"Valyrian",94,120,"","","","House Velaryon","Rhaenyra Targaryen",0,0,0,0,0,NA,NA,NA,1,1,1,26,0,0,0,0.193979933,0
53,0.125,"Leobald Tallhart","Military",1,"North",NA,299,"","","","House Tallhart","Berena Hornwood",0,1,1,1,1,NA,NA,NA,1,1,1,NA,0,0,0,0.110367893,0
54,0.931,"Maegor I Targaryen",NA,1,NA,NA,NA,"Visenya Targaryen","Aegon I Targaryen","Jaehaerys Targaryen","","",0,0,0,0,0,0,0,1,NA,0,0,NA,0,0,1,0.705685619,0
55,0.648,"Margaery Tyrell",NA,0,"Reach",283,NA,"","","","House Tyrell","Renly Baratheon",1,1,1,1,1,NA,NA,NA,0,1,1,22,3,1,1,1,1
56,1,"Naerys Targaryen","Royalty",0,"Valyrian",138,NA,"","","","House Targaryen","Aegon IV Targaryen",1,0,0,0,0,NA,NA,NA,0,1,1,100,12,1,0,0.220735786,0
57,0.012,"Quence",NA,0,NA,NA,NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.02006689,1
58,0.102,"Quellon Botley",NA,1,"Ironborn",NA,NA,"","","","House Botley","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.046822742,1
59,0.296,"Quellon Greyjoy","Nobility",1,"Ironborn",NA,283,"","","","House Greyjoy","Stonetree",0,0,0,1,0,NA,NA,NA,1,1,1,NA,0,0,0,0.090301003,0
60,0.91,"Quentyn Blackwood","Nobility",0,NA,NA,206,"","","","House Blackwood","",0,0,0,0,0,NA,NA,NA,NA,0,1,NA,0,0,0,0.02006689,0
61,0.233,"Quenton Greyjoy",NA,1,"Ironborn",NA,NA,"","","","House Greyjoy","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.060200669,1
62,0.032,"Quhuru Mo",NA,1,"Summer Islands",NA,NA,"","","","","",0,1,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.040133779,1
63,0.618,"Quickfinger",NA,1,NA,NA,NA,"","","","House Blackfyre","",0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.010033445,1
64,0.016,"Quill",NA,1,NA,NA,NA,"","","","","",0,0,0,1,0,NA,NA,NA,NA,0,0,NA,0,0,0,0.016722408,1
